SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
HTTP;0.375;0;0.04;0;0.262;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.43;0;0.04;0;0.278;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.435;0;0.04;0;0.28;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0;0;0.04;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;1,75E-01;0;0;0;0;1;0;0;0;0;0
NA;0.625;0.065;0.075;0.395;0.284;0;0;0;0;0;0;0;0;1;1;1;1;1;8,93E-03;1;0;0;0;0;0;0;0;0;0
AS;0.005;0.065;0.075;0.005;0.006;0;0;1;0;0;0;0;0;1;1;1;1;1;5,70E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.47;0;0.035;0;0.334;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.475;0;0.035;0;0.336;0;0;1;0;0;0;0;0;1;1;1;1;1;1,79E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.07;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.45;0;0.065;0;0.318;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0;0.065;0.07;0;0.01;0;0;1;0;0;0;0;0;1;1;1;1;1;5,51E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.045;0;0.095;0.04;0.022;0;0;0;1;0;0;0;0;1;1;1;1;1;4,91E-03;0;0;0;0;1;0;0;0;0;0
HTTP;0.41;0;0.095;0;0.314;0;0;1;0;0;0;0;0;1;1;1;1;1;1,81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.41;0;0.09;0;0.32;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.095;0.005;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5,63E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.12;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;6,49E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0.065;0.095;0;0.008;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.34;0;0.15;0;0.314;0;0;1;0;0;0;0;0;1;1;1;1;1;1,81E-02;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.165;0;0.002;1;0;0;0;1;0;0;0;1;1;1;1;1;2,16E-01;0;1;0;0;0;0;0;0;0;0
UK;0;0.025;0.12;0;0.006;0;0;1;0;0;0;0;0;1;1;1;1;1;3,15E-01;0;0;0;0;0;0;0;0;0;1
HTTP;0;0.025;0.125;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;1,03E-02;0;0;0;0;1;0;0;0;0;0
AS;0.01;0.065;0.175;0;0.01;0;0;1;0;0;0;0;0;1;1;1;1;1;5,26E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.105;0;0.185;0;0.108;0;0;1;0;0;0;0;0;1;1;1;1;1;1,86E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.02;0.02;0.15;0.005;0.018;0;0;1;0;0;0;0;0;1;1;1;1;1;1,57E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.025;0.02;0.145;0;0.012;0;0;1;0;0;0;0;0;1;1;1;1;1;8,81E-02;0;0;0;0;1;0;0;0;0;0
AS;0.01;0;0.22;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;6,54E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.225;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5,57E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.235;0;0.245;0;0.308;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.24;0;0.245;0;0.31;0;0;1;0;0;0;0;0;1;1;1;1;1;1,81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.1;0;0.245;0;0.116;0;0;1;0;0;0;0;0;1;1;1;1;1;1,88E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.015;0.02;0.18;0;0.016;0;0;0;1;0;0;0;0;1;1;1;1;1;4,91E-03;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.26;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.015;0.02;0.175;0.005;0.02;0;0;0;1;0;0;0;0;1;1;1;1;1;4,91E-03;0;0;0;0;1;0;0;0;0;0
UK;0.035;0;0.33;0;0.014;0;0;1;0;0;0;0;0;1;1;1;1;1;7,42E-03;0;0;0;0;0;0;0;0;0;1
HTTP;0.03;0;0.355;0;0.012;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.04;0;0.36;0.01;0.016;0;0;0;1;0;0;0;0;1;1;1;1;1;4,91E-03;0;0;0;0;1;0;0;0;0;0
AS;0.005;0.06;0.19;0.005;0.008;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.145;0;0.36;0;0.318;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.155;0;0.355;0;0.322;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0;0;0.355;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;4,66E-02;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.355;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;6,59E-01;0;1;0;0;0;0;0;0;0;0
AS;0.01;0;0.365;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;5,56E-01;0;1;0;0;0;0;0;0;0;0
